Produk,Ulasan,Rating,Tanggal
Sepatu Running,Sangat bagus dan ukurannya sesuai,5,2024-10-14
G2G Peeling Solution,"Niat nya coba-coba, Alhamdulillah cocok",5,2025-02-08
Shacket Jaket,Ada jahitan yang ga rapi,4,2025-03-19
Azarine Sunscreen,cocok di muka yang sensitif,5,04-10
T-Shirt Polos,"Pengemasan lama, jahitan rapi, bahan tipis",4,2025-04-10
Parfum MR CRSH HRNY,"Kurang tahan lama, wajar dengan harga segitu",5,2023-08-31
Kaos Unisex Oversize,keren bagus banget aku suka,5,2024-12-25
Earphone Bluetooth TWS,"Kecewa banget, saya pesan hitam yg datang putih",3,2025-02-24
Huafit smartwatch GTS,Gamau nyala kak,2,2025-04-01
Lunaraya baju couple by Hagia,ga expect sebagus ini woi bahannya adem,5,2023-04-19
Kado hampers ulang tahun ,kado sesuai bagus bahannya,4,2024-10-23
Tas tangan wanita ayuna bag,modelnya bagus tapi talinya copot pas baru nyampe,3,2025-04-16
